Station_ID,Station_Name,Element_Code,Element_Name,yy,mm,dd,obs_val
01AM0459,SAGAMAM TANK,5,PRECIP,2013,1,31,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,1,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,2,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,3,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,4,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,5,10
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,6,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,7,21
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,8,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,9,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,10,7.5
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,11,12.4
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,12,35.4
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,13,176.7
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,14,97.3
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,15,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,16,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,17,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,18,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,19,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,20,8.2
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,21,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,22,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,23,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,24,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,25,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,26,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,27,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,2,28,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,1,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,2,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,3,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,4,39.2
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,5,37.2
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,6,24.3
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,7,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,8,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,9,20
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,10,35
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,11,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,12,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,13,5.7
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,14,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,15,9.3
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,16,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,17,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,18,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,19,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,20,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,21,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,22,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,23,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,24,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,25,39.5
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,26,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,27,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,28,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,29,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,30,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,3,31,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,1,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,2,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,3,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,4,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,5,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,6,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,7,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,8,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,9,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,10,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,11,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,12,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,13,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,14,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,15,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,16,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,17,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,18,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,19,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,20,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,21,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,22,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,23,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,24,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,25,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,26,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,27,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,28,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,29,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,4,30,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,1,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,2,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,3,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,4,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,5,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,6,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,7,3.1
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,8,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,9,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,10,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,11,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,12,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,13,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,14,15
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,15,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,16,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,17,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,18,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,19,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,20,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,21,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,22,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,23,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,24,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,25,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,26,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,27,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,28,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,29,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,30,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,5,31,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,1,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,2,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,3,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,4,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,5,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,6,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,7,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,8,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,9,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,10,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,11,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,12,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,13,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,14,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,15,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,16,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,17,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,18,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,19,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,20,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,21,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,22,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,23,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,24,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,25,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,26,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,27,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,28,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,29,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,6,30,8.8
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,1,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,2,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,3,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,4,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,5,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,6,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,7,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,8,7
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,9,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,10,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,11,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,12,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,13,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,14,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,15,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,16,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,17,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,18,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,19,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,20,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,21,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,22,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,23,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,24,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,25,2.2
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,26,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,27,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,28,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,29,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,30,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,7,31,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,1,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,2,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,3,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,4,16.3
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,5,29
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,6,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,7,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,8,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,9,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,10,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,11,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,12,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,13,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,14,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,15,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,16,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,17,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,18,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,19,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,20,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,21,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,22,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,23,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,24,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,25,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,26,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,27,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,28,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,29,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,30,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,8,31,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,1,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,2,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,3,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,4,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,5,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,6,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,7,8
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,8,15.5
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,9,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,10,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,11,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,12,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,13,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,14,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,15,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,16,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,17,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,18,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,19,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,20,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,21,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,22,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,23,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,24,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,25,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,26,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,27,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,28,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,29,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,9,30,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,1,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,2,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,3,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,4,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,5,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,6,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,7,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,8,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,9,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,10,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,11,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,12,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,13,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,14,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,15,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,16,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,17,2.3
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,18,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,19,48.3
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,20,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,21,6
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,22,1.3
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,23,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,24,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,25,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,26,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,27,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,28,9
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,29,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,30,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,10,31,2.4
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,1,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,2,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,3,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,4,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,5,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,6,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,7,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,8,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,9,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,10,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,11,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,12,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,13,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,14,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,15,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,16,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,17,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,18,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,19,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,20,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,21,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,22,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,23,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,24,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,25,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,26,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,27,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,28,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,29,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,11,30,
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,1,22
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,2,10
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,3,57.5
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,4,124.3
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,5,32
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,6,23
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,7,2
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,8,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,9,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,10,1
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,11,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,12,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,13,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,14,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,15,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,16,10
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,17,4.8
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,18,1.2
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,19,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,20,2.5
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,21,3
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,22,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,23,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,24,12.2
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,25,4.3
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,26,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,27,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,28,17.3
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,29,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,30,0
01AM0459,SAGAMAM TANK,5,PRECIP,2013,12,31,0
